"id","customer_id","category","status","creation_date","response_time","resolution_time"
89,633,"Billing enquiry","Open","2023-10-30T00:00:00.000",3,"0 hours"
90,490,"Billing enquiry","In Progress","2023-04-15T00:00:00.000",4,"0 hours"
91,766,"Installation Problem","Open","2023-07-27T00:00:00.000",7,"0 hours"
92,1754,"Installation Problem","In Progress","2023-04-18T00:00:00.000",7,"0 hours"
93,1355,"Other","In Progress","2023-02-12T00:00:00.000",3,"0 hours"
94,1800,"Other","Resolved","2023-09-20T00:00:00.000",2,"0.5 hours"
95,1824,"Bug","-","2023-05-07T00:00:00.000",3,"1.58 hours"
96,849,"Billing enquiry","In Progress","2023-10-23T00:00:00.000",3,"0 hours"
100,162,"Feedback","In Progress","2023-05-31T00:00:00.000",2,"0 hours"
101,1796,"Other","In Progress","2023-11-05T00:00:00.000",2,"0 hours"
103,756,"Feedback","Open","2023-02-08T00:00:00.000",2,"0 hours"
105,723,"Other","In Progress","2023-04-01T00:00:00.000",2,"0 hours"
106,1102,"Bug","In Progress","2023-07-23T00:00:00.000",1,"0 hours"
107,1091,"Feedback","In Progress","2023-01-30T00:00:00.000",1,"0 hours"
110,625,"Bug","In Progress","2023-11-27T00:00:00.000",1,"0 hours"
111,1743,"Other","-","2023-04-28T00:00:00.000",2,"2.13 hours"
112,301,"Billing enquiry","Open","2023-09-14T00:00:00.000",3,"0 hours"
116,931,"Installation Problem","In Progress","2023-07-13T00:00:00.000",9,"0 hours"
118,699,"Billing enquiry","-","2023-02-18T00:00:00.000",4,"0.65 hours"
119,272,"Feedback","In Progress","2023-05-14T00:00:00.000",2,"0 hours"
120,1810,"Other","-","2023-07-26T00:00:00.000",2,"3.93 hours"
121,275,"Billing enquiry","In Progress","2023-05-16T00:00:00.000",4,"0 hours"
122,221,"Feedback","Open","2023-01-02T00:00:00.000",1,"0 hours"
123,349,"Feedback","Open","2023-04-14T00:00:00.000",2,"0 hours"
128,1155,"Other","In Progress","2023-03-29T00:00:00.000",3,"0 hours"
129,1825,"Bug","In Progress","2023-10-02T00:00:00.000",2,"0 hours"
134,1923,"Other","In Progress","2023-01-01T00:00:00.000",2,"0 hours"
136,750,"Feedback","Open","2023-06-30T00:00:00.000",2,"0 hours"
139,645,"Billing enquiry","Open","2023-09-24T00:00:00.000",3,"0 hours"
141,939,"Billing enquiry","Open","2023-10-14T00:00:00.000",3,"0 hours"
142,1143,"Installation Problem","In Progress","2023-03-06T00:00:00.000",5,"0 hours"
143,45,"Feedback","Open","2023-11-28T00:00:00.000",1,"0 hours"
146,742,"Bug","Open","2023-08-14T00:00:00.000",2,"0 hours"
148,1409,"Installation Problem","-","2023-03-30T00:00:00.000",6,"5.64 hours"
149,518,"Feedback","Open","2023-05-31T00:00:00.000",1,"0 hours"
150,1405,"Other","Resolved","2023-04-30T00:00:00.000",2,"5.02 hours"
152,1795,"Installation Problem","In Progress","2023-08-14T00:00:00.000",7,"0 hours"
154,507,"Billing enquiry","Open","2023-01-31T00:00:00.000",3,"0 hours"
156,742,"Installation Problem","Open","2023-05-11T00:00:00.000",6,"0 hours"
158,18,"Feedback","Open","2023-05-10T00:00:00.000",2,"0 hours"
159,858,"Bug","Open","2023-07-20T00:00:00.000",4,"0 hours"
160,79,"Feedback","Open","2023-11-08T00:00:00.000",2,"0 hours"
161,43,"Feedback","Open","2023-05-11T00:00:00.000",1,"0 hours"
163,1384,"Installation Problem","Open","2023-01-04T00:00:00.000",6,"0 hours"
164,869,"Billing enquiry","Open","2023-03-04T00:00:00.000",3,"0 hours"
165,1879,"Installation Problem","Resolved","2023-05-20T00:00:00.000",5,"4.41 hours"
166,1722,"Installation Problem","In Progress","2023-11-26T00:00:00.000",6,"0 hours"
167,696,"Installation Problem","Open","2023-05-10T00:00:00.000",6,"0 hours"
169,1525,"Installation Problem","In Progress","2023-06-24T00:00:00.000",6,"0 hours"
170,923,"Feedback","Open","2023-10-13T00:00:00.000",2,"0 hours"
172,1957,"Installation Problem","Resolved","2023-11-10T00:00:00.000",5,"1.33 hours"
174,774,"Billing enquiry","In Progress","2023-01-16T00:00:00.000",3,"0 hours"
176,1962,"Other","-","2023-08-30T00:00:00.000",1,"1.75 hours"
177,1703,"Bug","-","2023-04-29T00:00:00.000",2,"0.98 hours"
178,508,"Other","In Progress","2023-08-04T00:00:00.000",2,"0 hours"
179,200,"Feedback","Open","2023-11-10T00:00:00.000",1,"0 hours"
180,639,"Feedback","Open","2023-01-24T00:00:00.000",1,"0 hours"
181,1986,"Installation Problem","Resolved","2023-04-07T00:00:00.000",7,"0.64 hours"
182,1137,"Billing enquiry","In Progress","2023-03-11T00:00:00.000",3,"0 hours"
183,467,"Feedback","Open","2023-01-12T00:00:00.000",1,"0 hours"
184,1620,"Other","In Progress","2023-01-19T00:00:00.000",2,"0 hours"
185,103,"Feedback","Open","2023-11-04T00:00:00.000",2,"0 hours"
186,1087,"Billing enquiry","In Progress","2023-11-09T00:00:00.000",4,"0 hours"
188,493,"Billing enquiry","In Progress","2023-05-20T00:00:00.000",3,"0 hours"
189,1205,"Bug","Open","2023-02-07T00:00:00.000",2,"0 hours"
192,1668,"Bug","Resolved","2023-09-23T00:00:00.000",3,"2.88 hours"
193,686,"Feedback","Open","2023-05-09T00:00:00.000",1,"0 hours"
194,1832,"Other","Resolved","2023-09-21T00:00:00.000",2,"2.44 hours"
195,82,"Billing enquiry","Open","2023-03-16T00:00:00.000",3,"0 hours"
198,64,"Feedback","Open","2023-06-11T00:00:00.000",2,"0 hours"
200,1418,"Installation Problem","In Progress","2023-10-12T00:00:00.000",6,"0 hours"
201,624,"Billing enquiry","Open","2023-01-06T00:00:00.000",3,"0 hours"
203,235,"Feedback","Open","2023-04-01T00:00:00.000",1,"0 hours"
204,29,"Feedback","Open","2023-09-08T00:00:00.000",2,"0 hours"
206,408,"Feedback","Open","2023-03-22T00:00:00.000",1,"0 hours"
209,1128,"Installation Problem","Open","2023-05-21T00:00:00.000",6,"0 hours"
210,1840,"Installation Problem","In Progress","2023-10-11T00:00:00.000",7,"0 hours"
212,1914,"Other","-","2023-08-27T00:00:00.000",2,"3.12 hours"
213,31,"Feedback","Open","2023-06-26T00:00:00.000",1,"0 hours"
215,1191,"Billing enquiry","In Progress","2023-10-04T00:00:00.000",5,"0 hours"
216,798,"Feedback","Open","2023-06-30T00:00:00.000",1,"0 hours"
218,27,"Feedback","Open","2023-08-20T00:00:00.000",2,"0 hours"
219,88,"Feedback","Open","2023-04-17T00:00:00.000",1,"0 hours"
220,1644,"Bug","In Progress","2023-09-10T00:00:00.000",1,"0 hours"
221,1728,"Installation Problem","In Progress","2023-08-18T00:00:00.000",5,"0 hours"
222,736,"Feedback","Open","2023-07-31T00:00:00.000",1,"0 hours"
223,897,"Billing enquiry","In Progress","2023-07-01T00:00:00.000",4,"0 hours"
224,1722,"Installation Problem","In Progress","2023-03-22T00:00:00.000",5,"0 hours"
225,767,"Bug","Open","2023-08-24T00:00:00.000",9,"0 hours"
226,84,"Feedback","Open","2023-05-07T00:00:00.000",1,"0 hours"
228,896,"Bug","Open","2023-08-02T00:00:00.000",1,"0 hours"
229,324,"Billing enquiry","Open","2023-06-27T00:00:00.000",3,"0 hours"
232,794,"Billing enquiry","Open","2023-03-07T00:00:00.000",3,"0 hours"
235,782,"Bug","In Progress","2023-01-11T00:00:00.000",2,"0 hours"
236,44,"Feedback","Open","2023-10-20T00:00:00.000",1,"0 hours"
238,1823,"Other","-","2023-03-27T00:00:00.000",2,"5.56 hours"
239,776,"Bug","In Progress","2023-04-12T00:00:00.000",2,"0 hours"
240,346,"Feedback","Open","2023-11-13T00:00:00.000",1,"0 hours"
241,747,"Bug","In Progress","2023-04-18T00:00:00.000",2,"0 hours"
242,1863,"Other","-","2023-09-26T00:00:00.000",2,"2.35 hours"
243,1551,"Other","Resolved","2023-11-12T00:00:00.000",2,"2.66 hours"
245,1021,"Bug","In Progress","2023-10-20T00:00:00.000",2,"0 hours"
247,125,"Feedback","Open","2023-02-11T00:00:00.000",1,"0 hours"
250,931,"Billing enquiry","Open","2023-01-06T00:00:00.000",2,"0 hours"
252,1264,"Bug","Open","2023-07-29T00:00:00.000",2,"0 hours"
254,853,"Feedback","Open","2023-03-16T00:00:00.000",2,"0 hours"
255,1560,"Bug","Open","2023-05-28T00:00:00.000",3,"0 hours"
256,610,"Feedback","In Progress","2023-07-08T00:00:00.000",1,"0 hours"
258,1500,"Other","Resolved","2023-01-30T00:00:00.000",1,"2.96 hours"
259,186,"Feedback","Open","2023-09-28T00:00:00.000",2,"0 hours"
260,1021,"Feedback","In Progress","2023-03-11T00:00:00.000",1,"0 hours"
261,21,"Feedback","Open","2023-10-07T00:00:00.000",1,"0 hours"
263,1452,"Billing enquiry","In Progress","2023-08-10T00:00:00.000",3,"0 hours"
264,894,"Bug","In Progress","2023-06-17T00:00:00.000",5,"0 hours"
265,488,"Billing enquiry","Open","2023-02-09T00:00:00.000",4,"0 hours"
266,989,"Installation Problem","Open","2023-11-15T00:00:00.000",6,"0 hours"
267,853,"Installation Problem","In Progress","2023-07-30T00:00:00.000",6,"0 hours"
268,1907,"Installation Problem","In Progress","2023-06-28T00:00:00.000",6,"0 hours"
269,513,"Installation Problem","Resolved","2023-06-30T00:00:00.000",5,"1.79 hours"
271,1347,"Installation Problem","Open","2023-10-01T00:00:00.000",9,"0 hours"
272,1836,"Bug","Open","2023-04-13T00:00:00.000",1,"0 hours"
274,1898,"Installation Problem","In Progress","2023-07-02T00:00:00.000",5,"0 hours"
278,481,"Feedback","Open","2023-06-01T00:00:00.000",1,"0 hours"
279,34,"Feedback","Open","2023-04-07T00:00:00.000",2,"0 hours"
280,1011,"Bug","Open","2023-07-27T00:00:00.000",2,"0 hours"
282,1307,"Other","Resolved","2023-09-17T00:00:00.000",2,"5.38 hours"
283,327,"Bug","Open","2023-10-29T00:00:00.000",4,"0 hours"
284,259,"Feedback","In Progress","2023-02-20T00:00:00.000",2,"0 hours"
285,516,"Bug","Open","2023-08-17T00:00:00.000",1,"0 hours"
286,162,"Feedback","Open","2023-05-21T00:00:00.000",1,"0 hours"
287,1010,"Installation Problem","In Progress","2023-05-16T00:00:00.000",6,"0 hours"
288,917,"Feedback","Open","2023-04-30T00:00:00.000",1,"0 hours"
289,1377,"Bug","In Progress","2023-02-14T00:00:00.000",1,"0 hours"
290,705,"Bug","In Progress","2023-09-23T00:00:00.000",2,"0 hours"
292,436,"Feedback","In Progress","2023-05-12T00:00:00.000",1,"0 hours"
293,990,"Bug","Open","2023-10-21T00:00:00.000",2,"0 hours"
297,703,"Billing enquiry","Open","2023-05-25T00:00:00.000",3,"0 hours"
299,145,"Billing enquiry","Open","2023-09-22T00:00:00.000",4,"0 hours"
300,908,"Billing enquiry","Open","2023-07-15T00:00:00.000",3,"0 hours"
301,1450,"Installation Problem","In Progress","2023-10-13T00:00:00.000",6,"0 hours"
304,1767,"Installation Problem","-","2023-08-12T00:00:00.000",5,"3.26 hours"
305,580,"Feedback","Open","2023-03-28T00:00:00.000",2,"0 hours"
306,1882,"Installation Problem","-","2023-10-11T00:00:00.000",6,"3.3 hours"
308,453,"Feedback","Open","2023-07-10T00:00:00.000",1,"0 hours"
309,1772,"Installation Problem","Resolved","2023-08-15T00:00:00.000",5,"3.14 hours"
312,838,"Billing enquiry","Open","2023-07-27T00:00:00.000",4,"0 hours"
313,831,"Feedback","Resolved","2023-04-13T00:00:00.000",2,"0.7 hours"
314,1157,"Bug","In Progress","2023-04-01T00:00:00.000",1,"0 hours"
317,1342,"Billing enquiry","Open","2023-04-09T00:00:00.000",3,"0 hours"
319,117,"Feedback","Open","2023-03-29T00:00:00.000",1,"0 hours"
320,1511,"Other","Open","2023-06-11T00:00:00.000",2,"0 hours"
321,1766,"Installation Problem","Open","2023-06-12T00:00:00.000",10,"0 hours"
322,1537,"Other","In Progress","2023-03-20T00:00:00.000",2,"0 hours"
323,1696,"Feedback","In Progress","2023-06-16T00:00:00.000",2,"0 hours"
324,880,"Billing enquiry","Open","2023-04-07T00:00:00.000",4,"0 hours"
325,879,"Bug","Open","2023-01-25T00:00:00.000",3,"0 hours"
326,1751,"Bug","In Progress","2023-04-22T00:00:00.000",2,"0 hours"
328,120,"Feedback","Open","2023-06-12T00:00:00.000",1,"0 hours"
330,745,"Bug","In Progress","2023-05-24T00:00:00.000",1,"0 hours"
331,694,"Feedback","Open","2023-07-07T00:00:00.000",2,"0 hours"
332,79,"Billing enquiry","Open","2023-07-31T00:00:00.000",3,"0 hours"
335,1129,"Installation Problem","Resolved","2023-03-13T00:00:00.000",8,"4.93 hours"
338,1368,"Bug","Open","2023-10-14T00:00:00.000",3,"0 hours"
339,1257,"Installation Problem","In Progress","2023-01-16T00:00:00.000",5,"0 hours"
340,1585,"Feedback","In Progress","2023-02-25T00:00:00.000",2,"0 hours"
341,494,"Feedback","Open","2023-05-21T00:00:00.000",1,"0 hours"
343,1458,"Billing enquiry","Open","2023-06-19T00:00:00.000",3,"0 hours"
344,617,"Bug","Open","2023-11-23T00:00:00.000",3,"0 hours"
345,1374,"Bug","Open","2023-02-15T00:00:00.000",13,"0 hours"
346,1220,"Other","In Progress","2023-08-24T00:00:00.000",2,"0 hours"
347,1332,"Billing enquiry","-","2023-08-09T00:00:00.000",3,"1.3 hours"
349,295,"Bug","In Progress","2023-08-14T00:00:00.000",1,"0 hours"
350,1374,"Bug","In Progress","2023-11-24T00:00:00.000",1,"0 hours"
351,274,"Feedback","Open","2023-05-10T00:00:00.000",2,"0 hours"
352,1582,"Installation Problem","In Progress","2023-08-21T00:00:00.000",10,"0 hours"
353,447,"Feedback","In Progress","2023-09-14T00:00:00.000",1,"0 hours"
356,902,"Bug","Open","2023-08-30T00:00:00.000",2,"0 hours"
357,1587,"Installation Problem","-","2023-08-11T00:00:00.000",8,"2.76 hours"
358,800,"Feedback","Open","2023-06-25T00:00:00.000",2,"0 hours"
359,1139,"Bug","Open","2023-07-12T00:00:00.000",2,"0 hours"
360,108,"Feedback","Open","2023-09-19T00:00:00.000",2,"0 hours"
361,664,"Billing enquiry","Open","2023-08-10T00:00:00.000",4,"0 hours"
363,1676,"Installation Problem","In Progress","2023-07-04T00:00:00.000",6,"0 hours"
364,1358,"Bug","In Progress","2023-10-13T00:00:00.000",5,"0 hours"
366,635,"Billing enquiry","Open","2023-08-02T00:00:00.000",3,"0 hours"
368,1569,"Installation Problem","-","2023-04-06T00:00:00.000",6,"4.7 hours"
369,168,"Feedback","Open","2023-09-03T00:00:00.000",2,"0 hours"
372,36,"Feedback","Open","2023-04-01T00:00:00.000",2,"0 hours"
376,1744,"Bug","In Progress","2023-01-11T00:00:00.000",3,"0 hours"
378,1836,"Other","-","2023-01-23T00:00:00.000",2,"3.35 hours"
379,1146,"Feedback","In Progress","2023-03-31T00:00:00.000",2,"0 hours"
381,654,"Billing enquiry","Open","2023-01-08T00:00:00.000",3,"0 hours"
383,1167,"Billing enquiry","Open","2023-02-22T00:00:00.000",3,"0 hours"
384,1926,"Installation Problem","In Progress","2023-11-26T00:00:00.000",5,"0 hours"
385,1722,"Other","In Progress","2023-01-05T00:00:00.000",2,"0 hours"
386,1582,"Other","-","2023-09-14T00:00:00.000",3,"4.07 hours"
388,1950,"Installation Problem","In Progress","2023-07-05T00:00:00.000",9,"0 hours"
389,821,"Installation Problem","Open","2023-07-17T00:00:00.000",5,"0 hours"
390,698,"Installation Problem","In Progress","2023-08-17T00:00:00.000",6,"0 hours"
393,640,"Feedback","In Progress","2023-07-03T00:00:00.000",2,"0 hours"
394,1950,"Installation Problem","Resolved","2023-04-18T00:00:00.000",5,"4.85 hours"
395,76,"Feedback","Open","2023-02-10T00:00:00.000",2,"0 hours"
398,1887,"Installation Problem","In Progress","2023-10-15T00:00:00.000",7,"0 hours"
400,1726,"Other","Resolved","2023-05-14T00:00:00.000",3,"1.72 hours"
403,1872,"Other","Open","2023-01-18T00:00:00.000",2,"0 hours"
404,1458,"Billing enquiry","Open","2023-07-14T00:00:00.000",3,"0 hours"
405,1092,"Other","Open","2023-11-02T00:00:00.000",2,"0 hours"
408,222,"Feedback","Open","2023-09-06T00:00:00.000",2,"0 hours"
411,269,"Billing enquiry","Open","2023-06-17T00:00:00.000",3,"0 hours"
412,1477,"Billing enquiry","Open","2023-09-26T00:00:00.000",4,"0 hours"
413,286,"Feedback","Open","2023-02-06T00:00:00.000",2,"0 hours"
414,1213,"Installation Problem","-","2023-08-28T00:00:00.000",5,"3.56 hours"
416,851,"Billing enquiry","In Progress","2023-02-19T00:00:00.000",3,"0 hours"
418,108,"Feedback","Open","2023-01-25T00:00:00.000",2,"0 hours"
419,1773,"Billing enquiry","In Progress","2023-10-01T00:00:00.000",4,"0 hours"
420,1948,"Installation Problem","-","2023-11-25T00:00:00.000",7,"2.35 hours"
421,1092,"Feedback","Open","2023-09-21T00:00:00.000",1,"0 hours"
425,1574,"Other","In Progress","2023-05-06T00:00:00.000",2,"0 hours"
426,834,"Bug","Open","2023-05-05T00:00:00.000",2,"0 hours"
427,1658,"Billing enquiry","In Progress","2023-01-17T00:00:00.000",3,"0 hours"
428,341,"Feedback","Open","2023-02-10T00:00:00.000",1,"0 hours"
429,1035,"Bug","Open","2023-11-03T00:00:00.000",4,"0 hours"
430,325,"Feedback","Open","2023-01-02T00:00:00.000",2,"0 hours"
431,875,"Bug","Open","2023-02-12T00:00:00.000",2,"0 hours"
432,59,"Feedback","Open","2023-11-04T00:00:00.000",1,"0 hours"
434,1221,"Billing enquiry","Open","2023-02-27T00:00:00.000",3,"0 hours"
435,1555,"Bug","-","2023-09-25T00:00:00.000",2,"1.75 hours"
436,967,"Bug","In Progress","2023-03-17T00:00:00.000",3,"0 hours"
437,922,"Feedback","Open","2023-06-25T00:00:00.000",1,"0 hours"
438,641,"Billing enquiry","Resolved","2023-05-28T00:00:00.000",3,"0.14 hours"
439,344,"Feedback","Open","2023-03-30T00:00:00.000",2,"0 hours"
442,1967,"Other","-","2023-06-08T00:00:00.000",2,"5.89 hours"
443,18,"Feedback","Open","2023-08-08T00:00:00.000",1,"0 hours"
446,1487,"Installation Problem","In Progress","2023-03-29T00:00:00.000",5,"0 hours"
447,1149,"Billing enquiry","In Progress","2023-02-08T00:00:00.000",3,"0 hours"
448,904,"Feedback","Open","2023-02-25T00:00:00.000",2,"0 hours"
449,116,"Billing enquiry","Open","2023-02-21T00:00:00.000",3,"0 hours"
450,1886,"Billing enquiry","In Progress","2023-02-08T00:00:00.000",3,"0 hours"
451,292,"Billing enquiry","Open","2023-02-09T00:00:00.000",4,"0 hours"
453,1310,"Billing enquiry","In Progress","2023-08-16T00:00:00.000",3,"0 hours"
454,319,"Bug","Open","2023-10-13T00:00:00.000",2,"0 hours"
455,659,"Billing enquiry","Resolved","2023-01-12T00:00:00.000",3,"3.61 hours"
456,654,"Billing enquiry","Open","2023-09-23T00:00:00.000",3,"0 hours"
457,1014,"Billing enquiry","Open","2023-06-26T00:00:00.000",3,"0 hours"
459,710,"Feedback","Open","2023-10-16T00:00:00.000",1,"0 hours"
460,557,"Bug","-","2023-07-22T00:00:00.000",4,"4.59 hours"
462,1030,"Feedback","Open","2023-07-05T00:00:00.000",2,"0 hours"
463,109,"Billing enquiry","Open","2023-09-26T00:00:00.000",3,"0 hours"
464,825,"Installation Problem","In Progress","2023-07-23T00:00:00.000",6,"0 hours"
465,1639,"Installation Problem","In Progress","2023-01-03T00:00:00.000",17,"0 hours"
467,1639,"Installation Problem","Open","2023-11-10T00:00:00.000",7,"0 hours"
469,588,"Feedback","Open","2023-08-14T00:00:00.000",1,"0 hours"
470,446,"Feedback","Open","2023-08-01T00:00:00.000",1,"0 hours"
473,1178,"Installation Problem","-","2023-02-28T00:00:00.000",7,"3.55 hours"
474,1298,"Feedback","Open","2023-08-20T00:00:00.000",2,"0 hours"
478,1154,"Billing enquiry","Open","2023-07-21T00:00:00.000",3,"0 hours"
480,1563,"Billing enquiry","In Progress","2023-01-24T00:00:00.000",4,"0 hours"
481,227,"Feedback","Open","2023-10-19T00:00:00.000",1,"0 hours"
486,317,"Feedback","In Progress","2023-10-04T00:00:00.000",2,"0 hours"
487,1,"Feedback","Open","2023-11-14T00:00:00.000",2,"0 hours"
488,594,"Feedback","Open","2023-10-05T00:00:00.000",2,"0 hours"
490,1663,"Other","-","2023-06-26T00:00:00.000",2,"1.31 hours"
491,1925,"Other","In Progress","2023-06-27T00:00:00.000",3,"0 hours"
493,1520,"Bug","In Progress","2023-02-09T00:00:00.000",2,"0 hours"
494,653,"Feedback","In Progress","2023-10-25T00:00:00.000",2,"0 hours"
495,1506,"Installation Problem","Open","2023-11-04T00:00:00.000",5,"0 hours"
496,263,"Billing enquiry","Open","2023-03-17T00:00:00.000",3,"0 hours"
499,1062,"Billing enquiry","In Progress","2023-05-11T00:00:00.000",4,"0 hours"
501,1201,"Billing enquiry","In Progress","2023-03-10T00:00:00.000",3,"0 hours"
502,1715,"Other","In Progress","2023-05-14T00:00:00.000",2,"0 hours"
503,1696,"Other","In Progress","2023-05-28T00:00:00.000",2,"0 hours"
504,1848,"Billing enquiry","In Progress","2023-06-22T00:00:00.000",3,"0 hours"
505,1580,"Installation Problem","In Progress","2023-05-02T00:00:00.000",6,"0 hours"
506,949,"Bug","Open","2023-03-24T00:00:00.000",2,"0 hours"
507,568,"Feedback","Open","2023-04-17T00:00:00.000",1,"0 hours"
508,1821,"Other","Resolved","2023-01-29T00:00:00.000",1,"2.67 hours"
510,986,"Installation Problem","In Progress","2023-08-02T00:00:00.000",6,"0 hours"
512,551,"Installation Problem","In Progress","2023-01-06T00:00:00.000",7,"0 hours"
513,436,"Feedback","Open","2023-09-14T00:00:00.000",1,"0 hours"
515,555,"Feedback","Open","2023-01-19T00:00:00.000",2,"0 hours"
516,1898,"Other","-","2023-09-06T00:00:00.000",1,"2.77 hours"
517,278,"Feedback","Open","2023-10-25T00:00:00.000",2,"0 hours"
518,455,"Bug","In Progress","2023-08-23T00:00:00.000",1,"0 hours"
520,315,"Feedback","Open","2023-10-14T00:00:00.000",2,"0 hours"
521,1950,"Bug","In Progress","2023-06-30T00:00:00.000",1,"0 hours"
522,1640,"Installation Problem","In Progress","2023-09-10T00:00:00.000",9,"0 hours"
523,1948,"Other","-","2023-10-26T00:00:00.000",2,"1.07 hours"
527,123,"Feedback","Open","2023-09-18T00:00:00.000",1,"0 hours"
530,1792,"Installation Problem","In Progress","2023-09-21T00:00:00.000",6,"0 hours"
533,1630,"Bug","In Progress","2023-04-13T00:00:00.000",1,"0 hours"
534,551,"Billing enquiry","-","2023-03-24T00:00:00.000",3,"2.06 hours"
535,598,"Billing enquiry","Open","2023-05-22T00:00:00.000",2,"0 hours"
537,154,"Feedback","In Progress","2023-08-18T00:00:00.000",2,"0 hours"
540,102,"Feedback","Open","2023-08-17T00:00:00.000",1,"0 hours"
541,144,"Feedback","Open","2023-08-14T00:00:00.000",2,"0 hours"
543,1900,"Bug","In Progress","2023-06-19T00:00:00.000",3,"0 hours"
544,141,"Feedback","Open","2023-02-11T00:00:00.000",1,"0 hours"
546,42,"Feedback","Open","2023-06-19T00:00:00.000",2,"0 hours"
549,1509,"Installation Problem","In Progress","2023-11-09T00:00:00.000",7,"0 hours"
550,613,"Feedback","Open","2023-09-12T00:00:00.000",1,"0 hours"
